s/n,title,author,narrator,length,release date,language,price,review,ratings
1,Perfect Bet,Adam Kucharski,Jonathan Yen,8 hrs and 34 mins,02-24-16,English,$20.99 ,4 out of 5 stars,73 ratings
2,Elon Musk,Ashlee Vance,Fred Sanders,13 hrs and 23 mins,05-19-15,English,$36.50 ,4.5 out of 5 stars,56,332 ratings
3,The Book,Keith Houston,Dennis Kleinman,9 hrs and 58 mins,04-30-19,English,$17.49 ,4.5 out of 5 stars,12 ratings
4,The Metaverse Handbook,"QuHarrison Terry, Scott ""DJ SKEE"" Keeney",Langston Darby,5 hrs and 44 mins,07-18-22,English,$13.99 ,5 out of 5 stars,1 rating
5,Coding Languages for Absolute Beginners: 6 Books in 1,Zach Webber,William Bahl,7 hrs and 39 mins,12-26-18,English,$19.95 ,4.5 out of 5 stars,101 ratings
6,Python - The Bible: 3 Manuscripts in 1 Book,Maurice J. Thompson,Ronald Hillman,10 hrs and 19 mins,11-02-19,English,$24.95 ,4.5 out of 5 stars,2 ratings
7,Hacking: 3 Books in 1: A Beginners Guide for Hackers,Julian James McKinnon,Ivan Busenius,10 hrs and 4 mins,04-20-20,English,$24.95 ,4.5 out of 5 stars,25 ratings
8,Facebook,Steven Levy,Will Damron,18 hrs and 57 mins,02-25-20,English,$38.50 ,4.5 out of 5 stars,470 ratings
9,Computer Networking for Beginners,Kevin Morgan,Jamie H. Jung,4 hrs and 8 mins,03-20-20,English,$14.95 ,5 out of 5 stars,1 rating
10,Building Microservices,Sam Newman,Theodore O'Brien,21 hrs and 12 mins,02-09-22,English,$49.99 ,5 out of 5 stars,26 ratings
11,The KCNA Book,Nigel Poulton,Nigel Poulton,5 hrs and 17 mins,03-30-22,English,$19.95 ,5 out of 5 stars,1 rating
12,Social Media Marketing Agency,Daniel Capwell,Kevin Condardo,3 hrs and 17 mins,05-13-22,English,$14.95 ,5 out of 5 stars,26 ratings
13,The Book of Satoshi,Phil Champagne,Stephanie Murphy,7 hrs and 27 mins,04-20-15,English,$19.95 ,4.5 out of 5 stars,216 ratings
14,NFT (Non Fungible Tokens) Investing Guide for Beginners to Advance 2022 & Beyond,NFT Trending Crypto Art,NFT Artist Coach,3 hrs and 39 mins,07-05-22,English,$14.95 ,5 out of 5 stars,6 ratings
15,Lean UX,"Jeff Gothelf, Josh Seiden",Douglas Martin,6 hrs and 11 mins,02-25-22,English,$39.99 ,4.5 out of 5 stars,3 ratings
16,How to Be Fine,"Jolenta Greenberg, Kristen Meinzer","Jolenta Greenberg, Kristen Meinzer",4 hrs and 54 mins,03-17-20,English,$20.52 ,4 out of 5 stars,400 ratings
17,Marketing Artificial Intelligence,"Paul Roetzer, Mike Kaput",Paul Roetzer,6 hrs and 57 mins,06-24-22,English,$19.95 ,4.5 out of 5 stars,4 ratings
18,Stay Awhile and Listen,David L. Craddock,Mike Rylander,8 hrs and 55 mins,05-25-16,English,$19.95 ,4 out of 5 stars,185 ratings
19,The Product Book,"Product School, Carlos Gonz�lez de Villaumbrosia, Josh Anon",Russell Newton,9 hrs and 8 mins,01-30-19,English,$19.95 ,4.5 out of 5 stars,112 ratings
20,Social Media Marketing for Small Business 2022,Kelly Lee,Tom Brooks,24 hrs and 24 mins,04-26-22,English,$29.95 ,5 out of 5 stars,49 ratings
